primera_jerarquia,segunda_jerarquia,n_skuweeks,avg_actual_disc,avg_model_disc,avg_depth_delta,total_revenue
Footwear,Sneakers,3817,0.19719848508912624,0.2022034,0.005004907409761867,600227941.0
Footwear,Running,1747,0.17804759179930796,0.18191202,0.0038644276859426028,310042160.0
Footwear,Street,479,0.2469700457177422,0.2568723,0.00990225782505745,71148126.0
Footwear,Outdoor,134,0.20483899011598367,0.21043576,0.005596774720302747,18166320.0
Footwear,Slider-Flip Flop,205,0.1664739877785398,0.16897409,0.002500085743434795,13772932.0
Apparel,Basketball,143,0.27517685004636616,0.27692616,0.001749300147423445,7849957.0
Apparel,Bottom,115,0.32939067134430394,0.33302417,0.0036335012053584108,6729961.0
Apparel,Top,93,0.25123621159713294,0.25847477,0.007238569630876121,5722871.0
Footwear,Trail Running,21,0.17249907844019155,0.17445867,0.001959593453200743,3287827.0
Equipment,Running,36,0.19861300439103424,0.20172848,0.0031154709925520973,1609973.0
Equipment,SOCKS,42,0.1803774782674976,0.18506317,0.004685694219068776,1302370.0
Equipment,JOCKEY,13,0.18069216672205582,0.18598673,0.005294551010997248,584166.0
Equipment,VEST,3,0.19996363471066866,0.20352729,0.0035636469710279097,528000.0
Apparel,Running,8,0.20612450601845805,0.20723954,0.0011150342753547017,425000.0
Equipment,HEADWEAR,6,0.1665260907721714,0.1748472,0.008321117191295255,284322.0
